Study Site,Mined,DOP.1,DOP.2,DOP.3,DOP.4,Wtemp.1,Wtemp.2,Wtemp.3,Wtemp.4,DOY.1,DOY.2,DOY.3,DOY.4,Cover,c.gp.1,c.gp.2,c.gp.3,c.gp.4,c.pr.1,c.pr.2,c.pr.3,c.pr.4,c.dm.1,c.dm.2,c.dm.3,c.dm.4,c.ec.a.1,c.ec.a.2,c.ec.a.3,c.ec.a.4,c.ec.l.1,c.ec.l.2,c.ec.l.3,c.ec.l.4,c.des.l.1,c.des.l.2,c.des.l.3,c.des.l.4,c.df.1,c.df.2,c.df.3,c.df.4
VF -1,1,-0.595683397,-0.301823307,1.658312395,-0.091599899,-1.229378612,0.239069426,-0.826482546,-1.034892866,-1.497002529,-0.322295839,0.649875216,1.379003507,-1.442317177,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0
VF- 2,1,-0.595683397,-0.301823307,1.658312395,-0.091599899,0.084765289,1.338788788,0.195819483,-0.022802046,-1.497002529,-0.322295839,0.649875216,1.379003507,0.29841045,0,0,2,0,0,1,0,0,0,1,6,3,2,0,0,0,1,1,0,0,3,2,0,2,2,2,0,1
VF -3,1,-1.191366794,-0.301823307,-1.658312395,-0.091599899,1.014176271,0.294055395,-0.161628779,-1.669749835,-1.294466893,-0.484324348,0.649875216,1.419510634,0.397880601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R -1,0,0,-0.301823307,0,-0.091599899,-3.023357951,-1.364687976,-0.583417728,0.179616118,-2.712216348,-0.524831475,0.163789689,1.257482125,-0.447615676,2,1,6,2,4,0,2,1,3,2,3,2,2,0,0,0,1,6,4,13,1,8,7,2,1,0,0,0
R -2,0,0.595683397,3.169144721,0,2.015197787,-0.144345326,1.412103412,0.946460832,0.041603733,-0.686859984,-0.200774457,0.609368088,1.297989252,0.596820901,2,5,5,0,0,0,0,0,4,6,3,3,0,0,2,0,2,2,3,11,4,2,14,0,1,1,1,2
R -3,0,0.595683397,3.169144721,1.658312395,2.015197787,-0.014660072,-0.402433535,0.56041671,-0.427638374,-0.686859984,-0.200774457,1.297989252,1.297989252,1.342847027,1,6,4,0,0,0,4,0,1,4,2,0,2,0,0,0,0,0,1,0,10,8,3,7,0,0,2,1
R -4,0,-0.595683397,-0.301823307,0,-0.091599899,-0.44694425,-1.11725112,0.782034632,-0.096408651,-0.970409875,-0.524831475,0.609368088,1.257482125,-0.944966426,1,0,3,2,0,0,2,1,1,0,0,0,4,1,2,0,8,7,7,36,2,5,7,0,5,7,4,5
R -5,0,-0.595683397,-0.301823307,0,-0.091599899,-0.602566554,-0.860649935,0.102882934,-0.850876353,-0.970409875,-0.524831475,0.609368088,1.257482125,0.497350751,2,3,3,2,0,0,0,0,6,4,4,1,3,2,0,0,1,1,2,9,3,11,5,12,0,0,0,0
 R -6,0,0,-0.301823307,0,-2.198397586,-0.092471224,0.101604506,0.453182231,0.915682169,-0.767874239,-0.443817221,0.123282561,0.973932234,0.149205225,4,1,2,7,1,2,0,1,5,4,2,2,4,2,0,0,7,4,2,6,7,6,3,8,7,0,1,4
R -7,0,1.787050192,-0.301823307,0,-0.091599899,-0.248093528,-1.108086792,0.052840178,-0.924482958,-1.578016784,-0.524831475,0.082775434,1.257482125,1.889932853,1,0,1,0,0,0,0,0,0,2,4,1,4,2,0,0,3,1,3,11,0,0,0,2,5,2,1,1
VF - 4,1,-1.191366794,-0.301823307,-1.658312395,-0.091599899,2.004107039,2.209399949,0.639055327,0.924882994,-1.294466893,-0.484324348,0.649875216,1.419510634,-1.591522402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0
R - 8,0,1.787050192,-0.301823307,0,-2.198397586,1.169798575,0.394863003,0.631906362,1.863367209,-1.578016784,-0.443817221,0.123282561,0.973932234,-0.149205225,0,1,0,2,0,3,0,0,0,2,5,4,4,0,0,1,4,5,2,6,2,3,0,2,5,4,3,5
R - 9,0,-1.191366794,-0.301823307,0,2.015197787,-0.792771592,-0.429926519,-0.354650841,0.593653271,-1.497002529,-0.443817221,0.123282561,0.973932234,-0.049735075,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,9,0,2,5,0,8
R - 10,0,1.787050192,-0.301823307,0,-0.091599899,-0.658763497,-1.465495584,-0.647758415,-1.246511856,-1.578016784,-0.524831475,0.082775434,1.257482125,1.193641802,0,1,3,10,1,0,0,0,1,2,7,5,5,0,0,0,1,0,0,5,2,2,3,3,0,1,0,2
R -11,0,-1.191366794,-0.301823307,0,-0.091599899,-0.101116908,-0.23747563,1.396845642,0.72246483,-1.537509657,-0.524831475,0.082775434,1.257482125,1.790462703,0,2,4,3,0,0,0,0,0,2,1,0,4,0,0,0,1,1,1,4,1,3,0,4,1,1,0,1
VF -5,1,0.595683397,-0.301823307,1.658312395,-0.091599899,0.88881386,0.147426146,1.511229086,0.032402908,-1.091931257,-0.443817221,0.649875216,1.419510634,-1.541787327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
VF -6,1,-1.191366794,-0.301823307,0,-0.091599899,0.25767896,-0.05418907,-1.905976297,0.510845841,-1.294466893,-0.484324348,0.163789689,1.460017761,-0.397880601,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
R - 12,0,0,-0.301823307,0,-0.091599899,0.214450542,0.074111522,0.174372587,-0.188416908,-0.767874239,-0.443817221,0.082775434,1.257482125,0.795761201,1,2,7,2,0,0,0,0,13,3,2,1,1,0,1,0,0,0,0,9,0,1,0,3,1,0,2,0
VF -7,1,0.595683397,-0.301823307,-1.658312395,-0.091599899,0.339812954,-1.016443511,1.368249781,2.056584547,-1.091931257,-0.443817221,0.649875216,1.419510634,-0.696291051,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,4,1,0,0,0,0,0
VF - 9,1,0.595683397,-0.301823307,0,-0.091599899,-0.170282376,-0.439090847,-1.755848027,0.768468959,-1.091931257,-0.484324348,0.163789689,1.460017761,0.447615676,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
VF - 8,1,0.595683397,-0.301823307,0,-0.091599899,-0.377778782,-0.081682054,-1.484187348,-1.734155614,-1.091931257,-0.484324348,0.163789689,1.460017761,-0.696291051,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,3,4,1
VF -10,1,-1.191366794,-0.301823307,-1.658312395,-0.091599899,1.238964044,1.998620405,0.417437405,0.308427677,-1.294466893,-0.484324348,0.649875216,1.419510634,-0.795761201,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VF - 11,1,0.595683397,-0.301823307,0,-0.091599899,0.689963138,0.367370019,-1.512783209,-0.722064794,-1.091931257,-0.484324348,0.163789689,1.460017761,-0.646555976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,4
